  "arch": "1024-1024",
  "offline_ratio": 1.0,
average_return                      95.65
average_return                      95.9167
average_return                      95.9897
average_return                      96.0218
average_return                      96.0907
average_return                      95.6329
average_return                      95.7457
average_return                      95.9923
average_return                      95.8732
average_return                      95.9372
average_return                      96.0375
average_return                      96.2814
average_return                      96.1745
average_return                      96.1499
average_return                      96.1238
average_return                      96.0939
average_return                      96.0727
average_return                      96.1035
average_return                      95.8631
average_return                      95.9216
average_return                      95.6927
average_return                      95.8898
average_return                      95.7205
average_return                      96.0339
average_return                      95.7528
average_return                      95.8378
average_return                      95.7125
average_return                      95.8566
average_return                      95.5353
average_return                      95.8399
average_return                      95.9119
average_return                      95.9631
average_return                      95.7111
average_return                      95.7635
average_return                      95.6505
average_return                      95.8663
average_return                      95.8268
average_return                      95.8466
average_return                      95.6618
average_return                      95.808
average_return                      95.8717
average_return                      95.6506
average_return                      95.4333
average_return                      95.393
average_return                      95.3929
average_return                      95.6946
average_return                      95.3148
average_return                      95.3983
average_return                      95.3155
average_return                      95.293
average_return                      95.3172
average_return                      95.3966
average_return                      95.2497
average_return                      95.2031
average_return                      95.1355
average_return                      95.223
average_return                      95.0938
average_return                      95.0509
average_return                      95.0499
average_return                      95.2373
average_return                      95.238
average_return                      95.1027
average_return                      95.1435
average_return                      95.0412
average_return                      95.0329
average_return                      95.083
average_return                      95.0865
average_return                      95.0489
average_return                      95.1262
average_return                      95.066
average_return                      95.0857
average_return                      95.0659
average_return                      95.0272
average_return                      94.9046
average_return                      94.9827
average_return                      95.1517
average_return                      95.0979
average_return                      95.0686
average_return                      95.0635
average_return                      95.0729
average_return                      95.1885
average_return                      95.0379
average_return                      95.0393
average_return                      95.0386
average_return                      95.0672
average_return                      95.0696
average_return                      95.1247
average_return                      95.1715
average_return                      95.0693
average_return                      94.9092
average_return                      94.9568
average_return                      95.1156
average_return                      95.0067
average_return                      95.0471
average_return                      95.0025
average_return                      94.8832
average_return                      94.962
average_return                      95.1564
average_return                      95.0527
average_return                      94.9177
average_return                      94.9221
average_return                      94.968
average_return                      95.0571
average_return                      94.8068
average_return                      94.7473
average_return                      94.891
average_return                      94.7887
average_return                      95.0997
average_return                      94.964
average_return                      94.9439
average_return                      95.0723
average_return                      94.856
average_return                      94.9076
average_return                      95.0956
average_return                      94.8244
average_return                      94.9093
average_return                      94.7998
average_return                      94.7877
average_return                      94.9363
average_return                      94.7819
average_return                      94.8011
average_return                      94.8028
average_return                      94.719
average_return                      94.9043
average_return                      94.9326
average_return                      94.9022
average_return                      94.9152
average_return                      94.9237
average_return                      94.7839
average_return                      94.773
average_return                      94.8275
average_return                      94.8909
average_return                      94.8535
average_return                      94.8128
average_return                      94.7776
average_return                      94.7496
average_return                      94.8462
average_return                      94.8406
average_return                      94.9639
average_return                      94.7478
average_return                      94.9507
average_return                      94.9344
average_return                      94.7678
