epoch,sac/log_pi,sac/policy_loss,sac/qf1_loss,sac/qf2_loss,sac/alpha_loss,sac/alpha,sac/average_qf1,sac/average_qf2,sac/average_target_q,sac/total_steps,sac/cql/cql_std_q1,sac/cql/cql_std_q2,sac/cql/cql_q1_rand,sac/cql/cql_q2_rand,sac/cql/cql_min_qf1_loss,sac/cql/cql_min_qf2_loss,sac/cql/cql_qf1_diff,sac/cql/cql_qf2_diff,sac/cql/cql_q1_current_actions,sac/cql/cql_q2_current_actions,sac/cql/cql_q1_next_actions,sac/cql/cql_q2_next_actions,sac/cql/alpha_prime_loss,sac/cql/alpha_prime,average_return,average_traj_length,train_time,eval_time,epoch_time
37,0.5041475296020508,11083.052734375,59531.421875,61163.921875,-2.6957859992980957,210.02281188964844,-10726.7734375,-10757.826171875,-10825.51953125,38000,418.41845703125,345.9678955078125,-11573.720703125,-11418.8544921875,383.3290100097656,494.9300537109375,76.66580200195312,98.98600769042969,-10916.6796875,-10892.953125,-10933.716796875,-10905.1640625,0.0,0.0,94.457596,200.0,91.32319402694702,11.796647310256958,103.11984133720398
38,-0.6432287096977234,11734.0849609375,50957.859375,53060.3203125,3.4996447563171387,230.6144561767578,-11571.755859375,-11590.56640625,-11692.5107421875,39000,386.51116943359375,315.6250915527344,-12292.087890625,-12149.525390625,310.75897216796875,500.150390625,62.15179443359375,100.03007507324219,-11817.8564453125,-11751.7841796875,-11828.4833984375,-11761.9814453125,0.0,0.0,91.09915,200.0,89.87582898139954,11.547288417816162,101.4231173992157
39,0.5544469952583313,11539.6640625,60296.7109375,61780.4296875,-3.030843734741211,236.6131134033203,-11219.154296875,-11238.396484375,-11257.6240234375,40000,531.669921875,446.83477783203125,-12220.1298828125,-12053.6796875,619.8450317382812,700.1456298828125,123.96900177001953,140.0291290283203,-11340.6337890625,-11327.78125,-11355.978515625,-11339.58984375,0.0,0.0,84.19977,200.0,89.13237762451172,11.726684093475342,100.85906171798706
40,-0.7485765814781189,12692.3427734375,45302.828125,48319.7734375,4.069140434265137,229.4849090576172,-12600.6630859375,-12616.6357421875,-12740.716796875,41000,394.55963134765625,308.8614501953125,-13306.3701171875,-13141.0419921875,153.25979614257812,311.6850280761719,30.651958465576172,62.337005615234375,-12830.3125,-12759.9404296875,-12832.3193359375,-12758.5537109375,0.0,0.0,93.28258,200.0,88.25813031196594,11.716998815536499,99.97512912750244
41,-0.4220706820487976,13941.70703125,45720.75,46097.87109375,2.1825828552246094,176.11392211914062,-13706.228515625,-13705.22265625,-13846.17578125,42000,435.8746337890625,377.047607421875,-14566.103515625,-14426.900390625,-50.34238815307617,76.49739074707031,-10.068477630615234,15.299478530883789,-13993.6083984375,-13912.072265625,-14012.9345703125,-13916.7841796875,0.0,0.0,90.58116,200.0,88.01393604278564,11.66407585144043,99.67801189422607
42,-0.4288358986377716,13805.669921875,44498.94921875,43932.1171875,2.211052417755127,173.4588623046875,-13579.12109375,-13588.75390625,-13747.8935546875,43000,495.9374694824219,438.84808349609375,-14471.1689453125,-14366.3466796875,572.7713623046875,646.8549194335938,114.55426788330078,129.37098693847656,-13808.0751953125,-13747.5263671875,-13816.7158203125,-13757.2998046875,0.0,0.0,89.07042,200.0,87.3797812461853,11.506343126296997,98.8861243724823
43,-0.5290303826332092,14603.89453125,65771.796875,58669.25,2.861694097518921,223.4793243408203,-14393.5078125,-14404.169921875,-14596.267578125,44000,438.40069580078125,381.11322021484375,-15225.453125,-15108.7919921875,431.4383544921875,526.3003540039062,86.28767395019531,105.26007080078125,-14694.228515625,-14616.2578125,-14705.4287109375,-14623.2861328125,0.0,0.0,83.491455,200.0,86.88313317298889,11.608063697814941,98.49119687080383
44,1.0965160131454468,16071.021484375,62238.2734375,61446.1640625,-6.173974990844727,278.81207275390625,-15513.48046875,-15528.30078125,-15696.8134765625,45000,692.9564208984375,593.961669921875,-16921.787109375,-16683.646484375,494.48046875,593.8319091796875,98.8960952758789,118.76638793945312,-15725.267578125,-15665.009765625,-15726.34375,-15663.078125,0.0,0.0,89.04736,200.0,86.89347052574158,11.599141836166382,98.49261236190796
45,-0.6261354088783264,16725.484375,51172.26953125,50813.5,3.4620721340179443,251.9600830078125,-16525.197265625,-16500.8515625,-16708.806640625,46000,464.56182861328125,375.92596435546875,-17418.779296875,-17211.357421875,-104.09225463867188,-45.571170806884766,-20.818450927734375,-9.11423397064209,-16875.044921875,-16758.869140625,-16881.640625,-16765.5234375,0.0,0.0,90.29135,200.0,87.03983545303345,11.639464855194092,98.67930030822754
46,-0.37151968479156494,17133.01171875,51203.078125,45843.58984375,1.9575707912445068,194.23916625976562,-16916.416015625,-16949.3046875,-17134.01953125,47000,483.63568115234375,395.25177001953125,-17801.734375,-17645.837890625,475.08404541015625,341.0225830078125,95.01680755615234,68.20451354980469,-17181.650390625,-17142.814453125,-17180.279296875,-17147.31640625,0.0,0.0,85.68113,200.0,87.5513322353363,11.519073963165283,99.07040619850159
47,0.8555425405502319,17628.681640625,62290.8046875,62465.10546875,-4.629237651824951,223.82838439941406,-17281.99609375,-17281.1875,-17364.1328125,48000,689.955810546875,595.9442138671875,-18530.646484375,-18344.009765625,873.794921875,927.0986328125,174.7589874267578,185.4197235107422,-17378.451171875,-17373.55859375,-17397.2578125,-17385.40625,0.0,0.0,86.87228,200.0,86.7358705997467,12.230882167816162,98.96675276756287
48,0.2051796317100525,17408.86328125,90918.46875,92073.265625,-1.1600925922393799,285.4406433105469,-17107.50390625,-17097.7890625,-17352.76953125,49000,546.8665771484375,484.100341796875,-18109.763671875,-17978.599609375,872.1631469726562,893.169921875,174.43263244628906,178.6339874267578,-17287.83203125,-17264.33984375,-17296.1875,-17278.244140625,0.0,0.0,93.465034,200.0,91.52773571014404,11.807277202606201,103.33501291275024
49,0.5575316548347473,18609.69140625,107457.171875,105986.53125,-3.2409300804138184,334.6205749511719,-18166.46484375,-18169.8984375,-18347.34765625,50000,758.8914184570312,662.910400390625,-19619.369140625,-19351.703125,873.5859375,1133.4168701171875,174.71719360351562,226.68338012695312,-18380.1484375,-18290.529296875,-18392.498046875,-18300.865234375,0.0,0.0,86.06981,200.0,84.20633125305176,8.413297891616821,92.61962914466858
